Contabilidad Regional de España - Revisión Estadística 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB a precios de mercado,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precios Corrientes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad: Miles de Euros,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comunidad Autónoma,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023 (P),,,,2024 (A),,
,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual
Ávila,3191993,0.0026330579834955075,0.033691887897293826,,3296499,0.0026293951551794276,0.03274004673569153,,3056383,0.00270664639297777,-0.07283970054290934,,3247657,0.0026286728818251132,0.0625818164804608,,3468682,0.0025210954869779915,0.0680567559936287,,3726678,0.002488166002452995,0.07437868331544939,,,,
Burgos,10494196,0.0086566062513817,0.043751196004737425,,10628487,0.008477628000095716,0.012796692571779733,,9620320,0.008519483463719012,-0.09485517552968736,,10224118,0.008275461887502287,0.06276277712175893,,10709841,0.007784089694976898,0.0475075698461227,,11303996,0.007547262881060463,0.055477480944861934,,,,
León,9777598,0.008065488387132964,0.028555312683466783,,10041788,0.008009657735840026,0.02701992861641478,,9276493,0.008214999991144282,-0.07621102935054991,,10454424,0.008461872932979569,0.12698020685187816,,11757261,0.008545371886590453,0.12462063907107646,,12193704,0.008141288229563996,0.03712114581789083,,,,
Palencia,4375118,0.0036090114792341017,0.0748920346137838,,4417915,0.0035238731445071027,0.009781907596549289,,4042436,0.003579867057971297,-0.08499009147980441,,4326851,0.003502178920802866,0.07035732909562453,,4713440,0.0034258062030885343,0.08934650164750302,,5047540,0.0033700570384727602,0.07088241284497099,,,,
Salamanca,6894146,0.005686944227222184,0.030144614657269697,,7149679,0.005702817238436321,0.03706521445875954,,6583497,0.005830158853857639,-0.07918984894286862,,7386843,0.005978954636034429,0.1220242068918691,,8647606,0.006285223165387833,0.17067683718200044,,9604292,0.006412432958262366,0.11063015590673309,,,,
Segovia,3377956,0.0027864578693300866,0.03614341049604253,,3482508,0.002777762002376945,0.03095126165053652,,3163709,0.0028016912648975304,-0.09154293400043878,,3646707,0.00295166632401815,0.15266827638066593,,4049897,0.002943532168537129,0.11056276251423536,,4408019,0.0029430723593417106,0.0884274340804223,,,,
Soria,2492230,0.002055827220863896,0.12790645576340043,,2530167,0.0020181437493519234,0.015222110318870996,,2291715,0.002029478026308565,-0.09424358155015067,,2555836,0.0020687088518252916,0.11525036926493915,,2709532,0.001969332702456567,0.06013531384642823,,2825443,0.0018864444994895714,0.04277897437638667,,,,
Valladolid,14353734,0.011840318541322272,0.044866849074070236,,14611199,0.011654369032710913,0.017937144439210018,,13556027,0.012004834336095727,-0.07221666065871801,,13949687,0.011290959583123563,0.0290394818481845,,15264558,0.011094533394676651,0.09425810055809847,,16425196,0.010966499995660189,0.07603482524682348,,,,
Zamora,3369888,0.0027798026192055276,0.03336563347112009,,3490956,0.0027845004028044765,0.035926416545594364,,3204009,0.0028373798057764075,-0.082197254849388,,3673777,0.0029735769429384998,0.1466188141169391,,4146391,0.003013665604787686,0.12864526072213955,,4359052,0.002910378892226463,0.0512882166684232,,,,
CASTILLA - LA MANCHA,42290925,0.034885558239212855,0.03733149036255745,,43393303,0.034611914238540015,0.026066537915640398,,40254360,0.03564812338493855,-0.07233703781433742,,44123986,0.035714216567892164,0.0961293633782776,,50032018,0.03636409875111112,0.13389615344361672,,52544941,0.035082326886599395,0.05022629708839643,,55559897,0.03484842974791919,0.05737861614498718
