Contabilidad Regional de España - Revisión Estadística 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB per cápita,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad: Euros,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comunidad Autónoma,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023 (P),,,,2024 (A),,
,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual
Valladolid,27580,1.0628131021194605,0.046202867764206124,,28079,1.0546103286384976,0.0180928208846991,,26067,1.092910150517798,-0.0716549734677161,,26940,1.032421246263509,0.03349062032454819,,29369,1.020040288969158,0.09016332590942833,,31392,1.0134297520661157,0.06888215465286529,,,,
Zamora,19328,0.7448169556840077,0.04736100574401214,,20270,0.7613145539906103,0.0487375827814569,,18827,0.7893589367322125,-0.07118894918598917,,21814,0.8359776193761018,0.15865512296170392,,24770,0.8603084190052792,0.1355093059503072,,26166,0.8447184917355371,0.05635849818328631,,,,
CASTILLA - LA MANCHA,20811,0.8019653179190751,0.038317617123185155,,21264,0.7986478873239437,0.02176733458267255,,19675,0.8249130015512977,-0.07472723852520691,,21515,0.8245190465241051,0.09351969504447277,,24156,0.8389830508474576,0.12275156867301873,,25090,0.8099819214876033,0.038665341944030374,,26291,0.8056568504274814,0.0478676763650856
Albacete,21365,0.8233140655105973,0.03970996155530693,,22251,0.835718309859155,0.04146969342382412,,20707,0.8681816276047126,-0.0693901397689991,,22932,0.8788227178661762,0.10745158642005115,,24633,0.8555501528202278,0.07417582417582413,,26488,0.8551136363636364,0.07530548451264574,,,,
Ciudad Real,21974,0.8467822736030829,0.029275375895826405,,22264,0.836206572769953,0.01319741512696826,,20680,0.8670495995975012,-0.07114624505928857,,21334,0.8175825860351038,0.031624758220502924,,24925,0.8656918588496805,0.16832286491047155,,25277,0.8160188533057852,0.01412236710130399,,,,
Cuenca,23222,0.8948747591522158,0.047735065872586135,,23241,0.8729014084507042,0.0008181896477479356,,21672,0.908641147121714,-0.06751000387246675,,25348,0.971411052349199,0.16961978589885573,,28580,0.9926368435676577,0.12750512860975216,,29486,0.9518982438016529,0.03170048985304419,,,,
Guadalajara,20914,0.8059344894026975,0.04648486364773574,,21655,0.8133333333333334,0.035430811896337344,,19815,0.8307827764035051,-0.08496882936966055,,21774,0.8344446999310187,0.09886449659348973,,24960,0.8669074742984162,0.14632130063378335,,24774,0.7997804752066116,-0.007451923076923106,,,,
Toledo,18940,0.7298651252408478,0.03968820332656309,,19308,0.7251830985915493,0.01942977824709602,,17804,0.746467653347868,-0.07789517298529103,,19714,0.7554993485092358,0.1072792630869468,,21870,0.7595859961100305,0.10936390382469319,,23163,0.7477724690082644,0.059122085048010975,,,,
CATALUÑA,30525,1.176300578034682,0.025361101780315698,,31300,1.1755868544600938,0.025389025389025432,,27796,1.1654018699425601,-0.11194888178913742,,30360,1.1634858588181192,0.09224348827169382,,33043,1.147645179216449,0.088372859025033,,35600,1.1492768595041323,0.07738401476863488,,37477,1.1484386970244844,0.05272471910112353
Barcelona,31073,1.1974181117533718,0.029316284616403898,,31903,1.1982347417840375,0.026711292762205074,,28432,1.1920674185568738,-0.10879854559132374,,30588,1.172223499655093,0.07583005064715809,,33270,1.1555293136982494,0.08768144370341302,,35899,1.158929493801653,0.07902013826269916,,,,
