freq,unit,sector,na_item,geo,valor,estado,anyo
A,MIO_EUR,S13,D5REC,EU27_2020,2247407.8,,2023
A,MIO_EUR,S13,D5REC,EU27_2020,2387978.7,,2024
A,MIO_EUR,S13,D5REC,FR,311460.4,,2018
A,MIO_EUR,S13,D5REC,FR,318194.0,,2019
A,MIO_EUR,S13,D5REC,FR,306198.0,,2020
A,MIO_EUR,S13,D5REC,FR,324072.0,,2021
A,MIO_EUR,S13,D5REC,FR,358908.0,,2022
A,MIO_EUR,S13,D5REC,FR,357244.0,,2023
A,MIO_EUR,S13,D5REC,FR,365683.0,,2024
A,MIO_EUR,S13,D5REC,IT,248561.0,,2018
A,MIO_EUR,S13,D5REC,IT,258205.0,,2019
A,MIO_EUR,S13,D5REC,IT,251102.0,,2020
A,MIO_EUR,S13,D5REC,IT,268362.0,,2021
A,MIO_EUR,S13,D5REC,IT,290381.0,,2022
A,MIO_EUR,S13,D5REC,IT,321786.0,,2023
A,MIO_EUR,S13,D5REC,IT,343558.0,,2024
A,MIO_EUR,S13,D5REC,PT,20678.6,,2018
