Comunidades autónomas;Tipología penal;periodo;Total
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;72
ANDALUCÍA;1.2.-Lesiones;2024;25.781
ANDALUCÍA;1.2.-Lesiones;2023;24.848
ANDALUCÍA;1.2.-Lesiones;2022;23.218
ANDALUCÍA;1.2.-Lesiones;2021;19.996
ANDALUCÍA;1.2.-Lesiones;2020;17.412
ANDALUCÍA;1.2.-Lesiones;2019;20.624
ANDALUCÍA;1.2.-Lesiones;2018;19.547
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2024;19.586
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2023;19.294
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2022;18.119
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2021;16.314
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2020;15.221
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2019;15.455
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2018;14.441
ANDALUCÍA;1.4.-Otros contra las personas;2024;1.294
ANDALUCÍA;1.4.-Otros contra las personas;2023;1.131
ANDALUCÍA;1.4.-Otros contra las personas;2022;899
