Comunidades autónomas;Tipología penal;Sexo;periodo;Total
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Masculino;2023;1.277
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Masculino;2022;1.034
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Masculino;2021;920
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Masculino;2020;691
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Masculino;2019;553
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Masculino;2018;506
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Femenino;2024;80
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Femenino;2023;49
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Femenino;2022;28
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Femenino;2021;19
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Femenino;2020;12
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Femenino;2019;4
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Femenino;2018;10
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Ambos sexos;2024;1.353
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Ambos sexos;2023;1.326
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Ambos sexos;2022;1.062
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Ambos sexos;2021;939
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Ambos sexos;2020;703
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Ambos sexos;2019;557
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Ambos sexos;2018;516
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Masculino;2024;33
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Masculino;2023;31
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Masculino;2022;43
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Masculino;2021;45
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Masculino;2020;20
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Masculino;2019;19
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Masculino;2018;23
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Femenino;2024;6
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Femenino;2023;5
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Femenino;2022;9
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Femenino;2021;8
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Femenino;2020;3
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Femenino;2019;2
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Femenino;2018;3
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2024;39
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2023;36
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2022;52
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2021;53
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2020;23
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2019;21
TOTAL NACIONAL;3.3.-Corrupción de menores o incapacitados;Ambos sexos;2018;26
TOTAL NACIONAL;3.4.-Pornografía de menores;Masculino;2024;90
TOTAL NACIONAL;3.4.-Pornografía de menores;Masculino;2023;80
TOTAL NACIONAL;3.4.-Pornografía de menores;Masculino;2022;58
TOTAL NACIONAL;3.4.-Pornografía de menores;Masculino;2021;73
TOTAL NACIONAL;3.4.-Pornografía de menores;Masculino;2020;64
TOTAL NACIONAL;3.4.-Pornografía de menores;Masculino;2019;73
TOTAL NACIONAL;3.4.-Pornografía de menores;Masculino;2018;71
TOTAL NACIONAL;3.4.-Pornografía de menores;Femenino;2024;5
TOTAL NACIONAL;3.4.-Pornografía de menores;Femenino;2023;3
TOTAL NACIONAL;3.4.-Pornografía de menores;Femenino;2022;4
TOTAL NACIONAL;3.4.-Pornografía de menores;Femenino;2021;5
TOTAL NACIONAL;3.4.-Pornografía de menores;Femenino;2020;7
TOTAL NACIONAL;3.4.-Pornografía de menores;Femenino;2019;5
TOTAL NACIONAL;3.4.-Pornografía de menores;Femenino;2018;8
TOTAL NACIONAL;3.4.-Pornografía de menores;Ambos sexos;2024;95
TOTAL NACIONAL;3.4.-Pornografía de menores;Ambos sexos;2023;83
TOTAL NACIONAL;3.4.-Pornografía de menores;Ambos sexos;2022;62
TOTAL NACIONAL;3.4.-Pornografía de menores;Ambos sexos;2021;78
TOTAL NACIONAL;3.4.-Pornografía de menores;Ambos sexos;2020;71
TOTAL NACIONAL;3.4.-Pornografía de menores;Ambos sexos;2019;78
TOTAL NACIONAL;3.4.-Pornografía de menores;Ambos sexos;2018;79
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Masculino;2024;435
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Masculino;2023;430
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Masculino;2022;311
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Masculino;2021;269
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Masculino;2020;247
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Masculino;2019;238
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Masculino;2018;205
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Femenino;2024;128
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Femenino;2023;136
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Femenino;2022;78
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Femenino;2021;78
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Femenino;2020;58
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Femenino;2019;74
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Femenino;2018;84
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Ambos sexos;2024;563
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Ambos sexos;2023;566
