Comunidades autónomas;Nacionalidad;Sexo;periodo;Total
TOTAL NACIONAL;1.11.-Resto África;Ambos sexos;2021;2.334
TOTAL NACIONAL;1.11.-Resto África;Ambos sexos;2020;2.261
TOTAL NACIONAL;1.11.-Resto África;Ambos sexos;2019;1.785
TOTAL NACIONAL;1.11.-Resto África;Ambos sexos;2018;1.525
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Masculino;2024;55.722
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Masculino;2023;49.316
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Masculino;2022;41.635
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Masculino;2021;34.111
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Masculino;2020;31.476
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Masculino;2019;23.341
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Masculino;2018;19.969
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Femenino;2024;16.108
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Femenino;2023;14.580
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Femenino;2022;12.383
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Femenino;2021;10.350
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Femenino;2020;9.908
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Femenino;2019;6.523
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Femenino;2018;5.372
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Ambos sexos;2024;71.830
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Ambos sexos;2023;63.896
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Ambos sexos;2022;54.018
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Ambos sexos;2021;44.461
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Ambos sexos;2020;41.384
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Ambos sexos;2019;29.864
TOTAL NACIONAL;2.-CONTINENTE AMERICANO;Ambos sexos;2018;25.341
TOTAL NACIONAL;2.01.-Ecuador;Masculino;2024;5.611
TOTAL NACIONAL;2.01.-Ecuador;Masculino;2023;5.557
TOTAL NACIONAL;2.01.-Ecuador;Masculino;2022;5.324
TOTAL NACIONAL;2.01.-Ecuador;Masculino;2021;4.841
TOTAL NACIONAL;2.01.-Ecuador;Masculino;2020;4.548
TOTAL NACIONAL;2.01.-Ecuador;Masculino;2019;4.039
TOTAL NACIONAL;2.01.-Ecuador;Masculino;2018;3.954
TOTAL NACIONAL;2.01.-Ecuador;Femenino;2024;1.140
TOTAL NACIONAL;2.01.-Ecuador;Femenino;2023;1.035
TOTAL NACIONAL;2.01.-Ecuador;Femenino;2022;978
TOTAL NACIONAL;2.01.-Ecuador;Femenino;2021;916
TOTAL NACIONAL;2.01.-Ecuador;Femenino;2020;844
TOTAL NACIONAL;2.01.-Ecuador;Femenino;2019;707
TOTAL NACIONAL;2.01.-Ecuador;Femenino;2018;676
TOTAL NACIONAL;2.01.-Ecuador;Ambos sexos;2024;6.751
TOTAL NACIONAL;2.01.-Ecuador;Ambos sexos;2023;6.592
TOTAL NACIONAL;2.01.-Ecuador;Ambos sexos;2022;6.302
TOTAL NACIONAL;2.01.-Ecuador;Ambos sexos;2021;5.757
TOTAL NACIONAL;2.01.-Ecuador;Ambos sexos;2020;5.392
TOTAL NACIONAL;2.01.-Ecuador;Ambos sexos;2019;4.746
TOTAL NACIONAL;2.01.-Ecuador;Ambos sexos;2018;4.630
TOTAL NACIONAL;2.02.-Colombia;Masculino;2024;16.885
TOTAL NACIONAL;2.02.-Colombia;Masculino;2023;14.027
TOTAL NACIONAL;2.02.-Colombia;Masculino;2022;10.548
TOTAL NACIONAL;2.02.-Colombia;Masculino;2021;7.964
TOTAL NACIONAL;2.02.-Colombia;Masculino;2020;7.193
TOTAL NACIONAL;2.02.-Colombia;Masculino;2019;5.481
TOTAL NACIONAL;2.02.-Colombia;Masculino;2018;4.401
TOTAL NACIONAL;2.02.-Colombia;Femenino;2024;4.432
TOTAL NACIONAL;2.02.-Colombia;Femenino;2023;3.770
TOTAL NACIONAL;2.02.-Colombia;Femenino;2022;2.857
TOTAL NACIONAL;2.02.-Colombia;Femenino;2021;2.213
TOTAL NACIONAL;2.02.-Colombia;Femenino;2020;2.067
TOTAL NACIONAL;2.02.-Colombia;Femenino;2019;1.449
TOTAL NACIONAL;2.02.-Colombia;Femenino;2018;1.136
TOTAL NACIONAL;2.02.-Colombia;Ambos sexos;2024;21.317
TOTAL NACIONAL;2.02.-Colombia;Ambos sexos;2023;17.797
TOTAL NACIONAL;2.02.-Colombia;Ambos sexos;2022;13.405
TOTAL NACIONAL;2.02.-Colombia;Ambos sexos;2021;10.177
TOTAL NACIONAL;2.02.-Colombia;Ambos sexos;2020;9.260
