Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2020;1.295
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2019;1.153
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2018;1.178
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2024;5.208
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2023;4.884
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2022;4.073
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2021;3.292
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2020;3.160
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2019;3.037
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2018;2.890
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2024;4.326
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2023;3.948
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2022;3.612
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2021;3.159
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2020;3.309
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2019;3.399
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2018;3.424
TOTAL NACIONAL;5.5.-Estafas;2024;23.381
TOTAL NACIONAL;5.5.-Estafas;2023;22.135
TOTAL NACIONAL;5.5.-Estafas;2022;19.232
TOTAL NACIONAL;5.5.-Estafas;2021;16.301
TOTAL NACIONAL;5.5.-Estafas;2020;14.572
TOTAL NACIONAL;5.5.-Estafas;2019;13.478
TOTAL NACIONAL;5.5.-Estafas;2018;12.521
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2024;14.640
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2023;12.784
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2022;10.422
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2021;9.145
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2020;7.161
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2019;4.949
TOTAL NACIONAL;5.5.1.-Estafas informáticas;2018;3.475
TOTAL NACIONAL;5.6.-Daños;2024;13.088
TOTAL NACIONAL;5.6.-Daños;2023;12.606
TOTAL NACIONAL;5.6.-Daños;2022;12.671
TOTAL NACIONAL;5.6.-Daños;2021;12.077
TOTAL NACIONAL;5.6.-Daños;2020;10.554
TOTAL NACIONAL;5.6.-Daños;2019;8.298
TOTAL NACIONAL;5.6.-Daños;2018;8.013
