Provincias;Nacionalidad;Sexo;periodo;Total
Total Nacional;2.06.-Argentina;Masculino;2018;908
Total Nacional;2.06.-Argentina;Femenino;2024;654
Total Nacional;2.06.-Argentina;Femenino;2023;508
Total Nacional;2.06.-Argentina;Femenino;2022;484
Total Nacional;2.06.-Argentina;Femenino;2021;381
Total Nacional;2.06.-Argentina;Femenino;2020;332
Total Nacional;2.06.-Argentina;Femenino;2019;231
Total Nacional;2.06.-Argentina;Femenino;2018;205
Total Nacional;2.06.-Argentina;Ambos sexos;2024;2.671
Total Nacional;2.06.-Argentina;Ambos sexos;2023;2.407
Total Nacional;2.06.-Argentina;Ambos sexos;2022;2.152
Total Nacional;2.06.-Argentina;Ambos sexos;2021;1.724
Total Nacional;2.06.-Argentina;Ambos sexos;2020;1.573
Total Nacional;2.06.-Argentina;Ambos sexos;2019;1.202
Total Nacional;2.06.-Argentina;Ambos sexos;2018;1.113
Total Nacional;2.07.-Brasil;Masculino;2024;1.626
Total Nacional;2.07.-Brasil;Masculino;2023;1.538
Total Nacional;2.07.-Brasil;Masculino;2022;1.493
Total Nacional;2.07.-Brasil;Masculino;2021;1.212
Total Nacional;2.07.-Brasil;Masculino;2020;1.141
Total Nacional;2.07.-Brasil;Masculino;2019;943
Total Nacional;2.07.-Brasil;Masculino;2018;844
Total Nacional;2.07.-Brasil;Femenino;2024;892
Total Nacional;2.07.-Brasil;Femenino;2023;775
Total Nacional;2.07.-Brasil;Femenino;2022;854
Total Nacional;2.07.-Brasil;Femenino;2021;682
Total Nacional;2.07.-Brasil;Femenino;2020;705
Total Nacional;2.07.-Brasil;Femenino;2019;634
Total Nacional;2.07.-Brasil;Femenino;2018;547
Total Nacional;2.07.-Brasil;Ambos sexos;2024;2.518
Total Nacional;2.07.-Brasil;Ambos sexos;2023;2.313
Total Nacional;2.07.-Brasil;Ambos sexos;2022;2.347
Total Nacional;2.07.-Brasil;Ambos sexos;2021;1.894
Total Nacional;2.07.-Brasil;Ambos sexos;2020;1.846
Total Nacional;2.07.-Brasil;Ambos sexos;2019;1.577
Total Nacional;2.07.-Brasil;Ambos sexos;2018;1.391
Total Nacional;2.08.-Cuba;Masculino;2024;2.092
Total Nacional;2.08.-Cuba;Masculino;2023;2.213
Total Nacional;2.08.-Cuba;Masculino;2022;1.981
Total Nacional;2.08.-Cuba;Masculino;2021;1.720
Total Nacional;2.08.-Cuba;Masculino;2020;1.906
Total Nacional;2.08.-Cuba;Masculino;2019;1.336
Total Nacional;2.08.-Cuba;Masculino;2018;1.162
Total Nacional;2.08.-Cuba;Femenino;2024;621
Total Nacional;2.08.-Cuba;Femenino;2023;779
Total Nacional;2.08.-Cuba;Femenino;2022;690
Total Nacional;2.08.-Cuba;Femenino;2021;590
Total Nacional;2.08.-Cuba;Femenino;2020;659
Total Nacional;2.08.-Cuba;Femenino;2019;419
Total Nacional;2.08.-Cuba;Femenino;2018;275
Total Nacional;2.08.-Cuba;Ambos sexos;2024;2.713
Total Nacional;2.08.-Cuba;Ambos sexos;2023;2.992
Total Nacional;2.08.-Cuba;Ambos sexos;2022;2.671
Total Nacional;2.08.-Cuba;Ambos sexos;2021;2.310
Total Nacional;2.08.-Cuba;Ambos sexos;2020;2.565
Total Nacional;2.08.-Cuba;Ambos sexos;2019;1.755
Total Nacional;2.08.-Cuba;Ambos sexos;2018;1.437
Total Nacional;2.09.-Venezuela;Masculino;2024;4.529
Total Nacional;2.09.-Venezuela;Masculino;2023;3.600
Total Nacional;2.09.-Venezuela;Masculino;2022;3.094
Total Nacional;2.09.-Venezuela;Masculino;2021;2.971
Total Nacional;2.09.-Venezuela;Masculino;2020;2.548
Total Nacional;2.09.-Venezuela;Masculino;2019;1.457
