Provincias;Tipología penal;periodo;Total
Total Nacional;5.5.1.-Estafas informáticas;2019;4.949
Total Nacional;5.5.1.-Estafas informáticas;2018;3.475
Total Nacional;5.6.-Daños;2024;13.088
Total Nacional;5.6.-Daños;2023;12.606
Total Nacional;5.6.-Daños;2022;12.671
Total Nacional;5.6.-Daños;2021;12.077
Total Nacional;5.6.-Daños;2020;10.554
Total Nacional;5.6.-Daños;2019;8.298
Total Nacional;5.6.-Daños;2018;8.013
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2024;1.594
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2023;1.327
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2022;1.245
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2021;1.056
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2020;843
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2019;1.795
Total Nacional;5.7.-Contra la propiedad intelectual/industrial;2018;2.273
Total Nacional;5.8.-Blanqueo de capitales;2024;844
Total Nacional;5.8.-Blanqueo de capitales;2023;642
Total Nacional;5.8.-Blanqueo de capitales;2022;690
Total Nacional;5.8.-Blanqueo de capitales;2021;651
Total Nacional;5.8.-Blanqueo de capitales;2020;502
Total Nacional;5.8.-Blanqueo de capitales;2019;602
Total Nacional;5.8.-Blanqueo de capitales;2018;701
Total Nacional;5.9.-Otros contra el patrimonio;2024;24.951
Total Nacional;5.9.-Otros contra el patrimonio;2023;22.568
Total Nacional;5.9.-Otros contra el patrimonio;2022;21.634
Total Nacional;5.9.-Otros contra el patrimonio;2021;20.106
Total Nacional;5.9.-Otros contra el patrimonio;2020;20.489
Total Nacional;5.9.-Otros contra el patrimonio;2019;10.777
Total Nacional;5.9.-Otros contra el patrimonio;2018;10.803
Total Nacional;6. SEGURIDAD COLECTIVA;2024;71.706
Total Nacional;6. SEGURIDAD COLECTIVA;2023;71.713
Total Nacional;6. SEGURIDAD COLECTIVA;2022;70.323
Total Nacional;6. SEGURIDAD COLECTIVA;2021;64.341
Total Nacional;6. SEGURIDAD COLECTIVA;2020;57.625
Total Nacional;6. SEGURIDAD COLECTIVA;2019;61.239
Total Nacional;6. SEGURIDAD COLECTIVA;2018;57.327
Total Nacional;6.1.-Tráfico de drogas;2024;26.194
Total Nacional;6.1.-Tráfico de drogas;2023;26.205
Total Nacional;6.1.-Tráfico de drogas;2022;24.029
Total Nacional;6.1.-Tráfico de drogas;2021;23.920
Total Nacional;6.1.-Tráfico de drogas;2020;22.771
Total Nacional;6.1.-Tráfico de drogas;2019;22.888
