Provincias;Tipología penal;Sexo;periodo;Total
Total Nacional;2. CONTRA LA LIBERTAD;Ambos sexos;2018;7.161
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2024;3.121
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2023;3.201
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2022;2.788
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2021;2.535
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2020;2.384
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2019;2.212
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2018;1.920
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2024;327
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2023;364
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2022;274
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2021;249
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2020;214
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2019;184
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2018;174
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2024;3.448
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2023;3.565
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2022;3.062
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2021;2.784
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2020;2.598
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2019;2.396
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2018;2.094
Total Nacional;2.2.-Otros contra la libertad;Masculino;2024;11.338
Total Nacional;2.2.-Otros contra la libertad;Masculino;2023;9.881
Total Nacional;2.2.-Otros contra la libertad;Masculino;2022;8.454
Total Nacional;2.2.-Otros contra la libertad;Masculino;2021;7.705
Total Nacional;2.2.-Otros contra la libertad;Masculino;2020;6.574
Total Nacional;2.2.-Otros contra la libertad;Masculino;2019;4.567
Total Nacional;2.2.-Otros contra la libertad;Masculino;2018;4.044
Total Nacional;2.2.-Otros contra la libertad;Femenino;2024;2.315
Total Nacional;2.2.-Otros contra la libertad;Femenino;2023;2.140
Total Nacional;2.2.-Otros contra la libertad;Femenino;2022;1.912
