Provincias;Tipología penal;periodo;Total
Araba/Álava;2. CONTRA LA LIBERTAD;2019;1.101
Araba/Álava;2. CONTRA LA LIBERTAD;2018;1.173
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2024;154
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2023;190
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2022;203
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2021;208
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2020;286
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2019;356
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2018;391
Araba/Álava;2.2.-Otros contra la libertad;2024;1.262
Araba/Álava;2.2.-Otros contra la libertad;2023;1.153
Araba/Álava;2.2.-Otros contra la libertad;2022;918
Araba/Álava;2.2.-Otros contra la libertad;2021;907
Araba/Álava;2.2.-Otros contra la libertad;2020;785
Araba/Álava;2.2.-Otros contra la libertad;2019;745
Araba/Álava;2.2.-Otros contra la libertad;2018;782
Araba/Álava;3. LIBERTAD SEXUAL;2024;196
Araba/Álava;3. LIBERTAD SEXUAL;2023;146
Araba/Álava;3. LIBERTAD SEXUAL;2022;125
Araba/Álava;3. LIBERTAD SEXUAL;2021;93
Araba/Álava;3. LIBERTAD SEXUAL;2020;95
Araba/Álava;3. LIBERTAD SEXUAL;2019;82
Araba/Álava;3. LIBERTAD SEXUAL;2018;118
Araba/Álava;3.1.-Agresión sexual;2024;109
Araba/Álava;3.1.-Agresión sexual;2023;77
Araba/Álava;3.1.-Agresión sexual;2022;70
Araba/Álava;3.1.-Agresión sexual;2021;43
Araba/Álava;3.1.-Agresión sexual;2020;53
Araba/Álava;3.1.-Agresión sexual;2019;51
Araba/Álava;3.1.-Agresión sexual;2018;68
Araba/Álava;3.2.-Agresión sexual con penetración;2024;52
Araba/Álava;3.2.-Agresión sexual con penetración;2023;30
Araba/Álava;3.2.-Agresión sexual con penetración;2022;30
Araba/Álava;3.2.-Agresión sexual con penetración;2021;40
Araba/Álava;3.2.-Agresión sexual con penetración;2020;26
Araba/Álava;3.2.-Agresión sexual con penetración;2019;11
Araba/Álava;3.2.-Agresión sexual con penetración;2018;14
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2024;4
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2023;5
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2022;5
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2021;0
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2020;0
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2019;1
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2018;5
Araba/Álava;3.4.-Pornografía de menores;2024;13
Araba/Álava;3.4.-Pornografía de menores;2023;19
